Results from the Java program
x = 1.000000e+16, y = -9.876543e+03, z = -1.000000e+16 | (x + y) + z = -9.876000e+03, x + (y + z) = -9.876000e+03 | Associative: true
x = 1.000000e+16, y = -9.876543e+03, z = -1.000000e-16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+16, y = -9.876543e+03, z = 0.000000e+00 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+16, y = -9.876543e+03, z = 1.234568e+04 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+16, y = -9.876543e+03, z = -9.876543e+03 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: false
x = 1.000000e-16, y = 1.000000e+16, z = 1.000000e+16 | (x + y) + z = 2.000000e+16, x + (y + z) = 2.000000e+16 | Associative: true
x = 1.000000e-16, y = 1.000000e+16, z = 1.000000e-16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e-16, y = 1.000000e+16, z = 1.000000e+00 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e-16, y = 1.000000e+16, z = -1.000000e+16 | (x + y) + z = 0.000000e+00, x + (y + z) = 1.000000e-16 | Associative: false
x = 1.000000e-16, y = 1.000000e+16, z = -1.000000e-16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e-16, y = 1.000000e+16, z = 0.000000e+00 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e-16, y = 1.000000e+16, z = 1.234568e+04 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e-16, y = 1.000000e+16, z = -9.876543e+03 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e-16, y = 1.000000e-16, z = 1.000000e+16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e-16, y = 1.000000e-16, z = 1.000000e-16 | (x + y) + z = 3.000000e-16, x + (y + z) = 3.000000e-16 | Associative: true
x = 1.000000e-16, y = 1.000000e-16, z = 1.000000e+00 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: false
x = 1.000000e-16, y = 1.000000e-16, z = -1.000000e+16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e-16, y = 1.000000e-16, z = -1.000000e-16 | (x + y) + z = 1.000000e-16, x + (y + z) = 1.000000e-16 | Associative: true
x = 1.000000e-16, y = 1.000000e-16, z = 0.000000e+00 | (x + y) + z = 2.000000e-16, x + (y + z) = 2.000000e-16 | Associative: true
x = 1.000000e-16, y = 1.000000e-16, z = 1.234568e+04 | (x + y) + z = 1.234568e+04, x + (y + z) = 1.234568e+04 | Associative: true
x = 1.000000e-16, y = 1.000000e-16, z = -9.876543e+03 | (x + y) + z = -9.876543e+03, x + (y + z) = -9.876543e+03 | Associative: true
x = 1.000000e-16, y = 1.000000e+00, z = 1.000000e+16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e-16, y = 1.000000e+00, z = 1.000000e-16 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: true
x = 1.000000e-16, y = 1.000000e+00, z = 1.000000e+00 | (x + y) + z = 2.000000e+00, x + (y + z) = 2.000000e+00 | Associative: true
x = 1.000000e-16, y = 1.000000e+00, z = -1.000000e+16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e-16, y = 1.000000e+00, z = -1.000000e-16 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: false
x = 1.000000e-16, y = 1.000000e+00, z = 0.000000e+00 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: true
x = 1.000000e-16, y = 1.000000e+00, z = 1.234568e+04 | (x + y) + z = 1.234668e+04, x + (y + z) = 1.234668e+04 | Associative: true
x = 1.000000e-16, y = 1.000000e+00, z = -9.876543e+03 | (x + y) + z = -9.875543e+03, x + (y + z) = -9.875543e+03 | Associative: true
x = 1.000000e-16, y = -1.000000e+16, z = 1.000000e+16 | (x + y) + z = 0.000000e+00, x + (y + z) = 1.000000e-16 | Associative: false
x = 1.000000e-16, y = -1.000000e+16, z = 1.000000e-16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e-16, y = -1.000000e+16, z = 1.000000e+00 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e-16, y = -1.000000e+16, z = -1.000000e+16 | (x + y) + z = -2.000000e+16, x + (y + z) = -2.000000e+16 | Associative: true
x = 1.000000e-16, y = -1.000000e+16, z = -1.000000e-16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e-16, y = -1.000000e+16, z = 0.000000e+00 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e-16, y = -1.000000e+16, z = 1.234568e+04 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e-16, y = -1.000000e+16, z = -9.876543e+03 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e-16, y = -1.000000e-16, z = 1.000000e+16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e-16, y = -1.000000e-16, z = 1.000000e-16 | (x + y) + z = 1.000000e-16, x + (y + z) = 1.000000e-16 | Associative: true
x = 1.000000e-16, y = -1.000000e-16, z = 1.000000e+00 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: true
x = 1.000000e-16, y = -1.000000e-16, z = -1.000000e+16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e-16, y = -1.000000e-16, z = -1.000000e-16 | (x + y) + z = -1.000000e-16, x + (y + z) = -1.000000e-16 | Associative: true
x = 1.000000e-16, y = -1.000000e-16, z = 0.000000e+00 | (x + y) + z = 0.000000e+00, x + (y + z) = 0.000000e+00 | Associative: true
x = 1.000000e-16, y = -1.000000e-16, z = 1.234568e+04 | (x + y) + z = 1.234568e+04, x + (y + z) = 1.234568e+04 | Associative: true
x = 1.000000e-16, y = -1.000000e-16, z = -9.876543e+03 | (x + y) + z = -9.876543e+03, x + (y + z) = -9.876543e+03 | Associative: true
x = 1.000000e-16, y = 0.000000e+00, z = 1.000000e+16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e-16, y = 0.000000e+00, z = 1.000000e-16 | (x + y) + z = 2.000000e-16, x + (y + z) = 2.000000e-16 | Associative: true
x = 1.000000e-16, y = 0.000000e+00, z = 1.000000e+00 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: true
x = 1.000000e-16, y = 0.000000e+00, z = -1.000000e+16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e-16, y = 0.000000e+00, z = -1.000000e-16 | (x + y) + z = 0.000000e+00, x + (y + z) = 0.000000e+00 | Associative: true
x = 1.000000e-16, y = 0.000000e+00, z = 0.000000e+00 | (x + y) + z = 1.000000e-16, x + (y + z) = 1.000000e-16 | Associative: true
x = 1.000000e-16, y = 0.000000e+00, z = 1.234568e+04 | (x + y) + z = 1.234568e+04, x + (y + z) = 1.234568e+04 | Associative: true
x = 1.000000e-16, y = 0.000000e+00, z = -9.876543e+03 | (x + y) + z = -9.876543e+03, x + (y + z) = -9.876543e+03 | Associative: true
x = 1.000000e-16, y = 1.234568e+04, z = 1.000000e+16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e-16, y = 1.234568e+04, z = 1.000000e-16 | (x + y) + z = 1.234568e+04, x + (y + z) = 1.234568e+04 | Associative: true
x = 1.000000e-16, y = 1.234568e+04, z = 1.000000e+00 | (x + y) + z = 1.234668e+04, x + (y + z) = 1.234668e+04 | Associative: true
x = 1.000000e-16, y = 1.234568e+04, z = -1.000000e+16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e-16, y = 1.234568e+04, z = -1.000000e-16 | (x + y) + z = 1.234568e+04, x + (y + z) = 1.234568e+04 | Associative: true
x = 1.000000e-16, y = 1.234568e+04, z = 0.000000e+00 | (x + y) + z = 1.234568e+04, x + (y + z) = 1.234568e+04 | Associative: true
x = 1.000000e-16, y = 1.234568e+04, z = 1.234568e+04 | (x + y) + z = 2.469136e+04, x + (y + z) = 2.469136e+04 | Associative: true
x = 1.000000e-16, y = 1.234568e+04, z = -9.876543e+03 | (x + y) + z = 2.469136e+03, x + (y + z) = 2.469136e+03 | Associative: true
x = 1.000000e-16, y = -9.876543e+03, z = 1.000000e+16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e-16, y = -9.876543e+03, z = 1.000000e-16 | (x + y) + z = -9.876543e+03, x + (y + z) = -9.876543e+03 | Associative: true
x = 1.000000e-16, y = -9.876543e+03, z = 1.000000e+00 | (x + y) + z = -9.875543e+03, x + (y + z) = -9.875543e+03 | Associative: true
x = 1.000000e-16, y = -9.876543e+03, z = -1.000000e+16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e-16, y = -9.876543e+03, z = -1.000000e-16 | (x + y) + z = -9.876543e+03, x + (y + z) = -9.876543e+03 | Associative: true
x = 1.000000e-16, y = -9.876543e+03, z = 0.000000e+00 | (x + y) + z = -9.876543e+03, x + (y + z) = -9.876543e+03 | Associative: true
x = 1.000000e-16, y = -9.876543e+03, z = 1.234568e+04 | (x + y) + z = 2.469136e+03, x + (y + z) = 2.469136e+03 | Associative: true
x = 1.000000e-16, y = -9.876543e+03, z = -9.876543e+03 | (x + y) + z = -1.975309e+04, x + (y + z) = -1.975309e+04 | Associative: true
x = 1.000000e+00, y = 1.000000e+16, z = 1.000000e+16 | (x + y) + z = 2.000000e+16, x + (y + z) = 2.000000e+16 | Associative: true
x = 1.000000e+00, y = 1.000000e+16, z = 1.000000e-16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+00, y = 1.000000e+16, z = 1.000000e+00 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+00, y = 1.000000e+16, z = -1.000000e+16 | (x + y) + z = 0.000000e+00, x + (y + z) = 1.000000e+00 | Associative: false
x = 1.000000e+00, y = 1.000000e+16, z = -1.000000e-16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+00, y = 1.000000e+16, z = 0.000000e+00 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+00, y = 1.000000e+16, z = 1.234568e+04 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: false
x = 1.000000e+00, y = 1.000000e+16, z = -9.876543e+03 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+00, y = 1.000000e-16, z = 1.000000e+16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+00, y = 1.000000e-16, z = 1.000000e-16 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: false
x = 1.000000e+00, y = 1.000000e-16, z = 1.000000e+00 | (x + y) + z = 2.000000e+00, x + (y + z) = 2.000000e+00 | Associative: true
x = 1.000000e+00, y = 1.000000e-16, z = -1.000000e+16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e+00, y = 1.000000e-16, z = -1.000000e-16 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: false
x = 1.000000e+00, y = 1.000000e-16, z = 0.000000e+00 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: true
x = 1.000000e+00, y = 1.000000e-16, z = 1.234568e+04 | (x + y) + z = 1.234668e+04, x + (y + z) = 1.234668e+04 | Associative: true
x = 1.000000e+00, y = 1.000000e-16, z = -9.876543e+03 | (x + y) + z = -9.875543e+03, x + (y + z) = -9.875543e+03 | Associative: true
x = 1.000000e+00, y = 1.000000e+00, z = 1.000000e+16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: false
x = 1.000000e+00, y = 1.000000e+00, z = 1.000000e-16 | (x + y) + z = 2.000000e+00, x + (y + z) = 2.000000e+00 | Associative: true
x = 1.000000e+00, y = 1.000000e+00, z = 1.000000e+00 | (x + y) + z = 3.000000e+00, x + (y + z) = 3.000000e+00 | Associative: true
x = 1.000000e+00, y = 1.000000e+00, z = -1.000000e+16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: false
x = 1.000000e+00, y = 1.000000e+00, z = -1.000000e-16 | (x + y) + z = 2.000000e+00, x + (y + z) = 2.000000e+00 | Associative: true
x = 1.000000e+00, y = 1.000000e+00, z = 0.000000e+00 | (x + y) + z = 2.000000e+00, x + (y + z) = 2.000000e+00 | Associative: true
x = 1.000000e+00, y = 1.000000e+00, z = 1.234568e+04 | (x + y) + z = 1.234768e+04, x + (y + z) = 1.234768e+04 | Associative: true
x = 1.000000e+00, y = 1.000000e+00, z = -9.876543e+03 | (x + y) + z = -9.874543e+03, x + (y + z) = -9.874543e+03 | Associative: true
x = 1.000000e+00, y = -1.000000e+16, z = 1.000000e+16 | (x + y) + z = 0.000000e+00, x + (y + z) = 1.000000e+00 | Associative: false
x = 1.000000e+00, y = -1.000000e+16, z = 1.000000e-16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e+00, y = -1.000000e+16, z = 1.000000e+00 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e+00, y = -1.000000e+16, z = -1.000000e+16 | (x + y) + z = -2.000000e+16, x + (y + z) = -2.000000e+16 | Associative: true
x = 1.000000e+00, y = -1.000000e+16, z = -1.000000e-16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e+00, y = -1.000000e+16, z = 0.000000e+00 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e+00, y = -1.000000e+16, z = 1.234568e+04 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: false
x = 1.000000e+00, y = -1.000000e+16, z = -9.876543e+03 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e+00, y = -1.000000e-16, z = 1.000000e+16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+00, y = -1.000000e-16, z = 1.000000e-16 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: true
x = 1.000000e+00, y = -1.000000e-16, z = 1.000000e+00 | (x + y) + z = 2.000000e+00, x + (y + z) = 2.000000e+00 | Associative: true
x = 1.000000e+00, y = -1.000000e-16, z = -1.000000e+16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e+00, y = -1.000000e-16, z = -1.000000e-16 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: true
x = 1.000000e+00, y = -1.000000e-16, z = 0.000000e+00 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: true
x = 1.000000e+00, y = -1.000000e-16, z = 1.234568e+04 | (x + y) + z = 1.234668e+04, x + (y + z) = 1.234668e+04 | Associative: true
x = 1.000000e+00, y = -1.000000e-16, z = -9.876543e+03 | (x + y) + z = -9.875543e+03, x + (y + z) = -9.875543e+03 | Associative: true
x = 1.000000e+00, y = 0.000000e+00, z = 1.000000e+16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+00, y = 0.000000e+00, z = 1.000000e-16 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: true
x = 1.000000e+00, y = 0.000000e+00, z = 1.000000e+00 | (x + y) + z = 2.000000e+00, x + (y + z) = 2.000000e+00 | Associative: true
x = 1.000000e+00, y = 0.000000e+00, z = -1.000000e+16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: true
x = 1.000000e+00, y = 0.000000e+00, z = -1.000000e-16 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: true
x = 1.000000e+00, y = 0.000000e+00, z = 0.000000e+00 | (x + y) + z = 1.000000e+00, x + (y + z) = 1.000000e+00 | Associative: true
x = 1.000000e+00, y = 0.000000e+00, z = 1.234568e+04 | (x + y) + z = 1.234668e+04, x + (y + z) = 1.234668e+04 | Associative: true
x = 1.000000e+00, y = 0.000000e+00, z = -9.876543e+03 | (x + y) + z = -9.875543e+03, x + (y + z) = -9.875543e+03 | Associative: true
x = 1.000000e+00, y = 1.234568e+04, z = 1.000000e+16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: false
x = 1.000000e+00, y = 1.234568e+04, z = 1.000000e-16 | (x + y) + z = 1.234668e+04, x + (y + z) = 1.234668e+04 | Associative: true
x = 1.000000e+00, y = 1.234568e+04, z = 1.000000e+00 | (x + y) + z = 1.234768e+04, x + (y + z) = 1.234768e+04 | Associative: true
x = 1.000000e+00, y = 1.234568e+04, z = -1.000000e+16 | (x + y) + z = -1.000000e+16, x + (y + z) = -1.000000e+16 | Associative: false
x = 1.000000e+00, y = 1.234568e+04, z = -1.000000e-16 | (x + y) + z = 1.234668e+04, x + (y + z) = 1.234668e+04 | Associative: true
x = 1.000000e+00, y = 1.234568e+04, z = 0.000000e+00 | (x + y) + z = 1.234668e+04, x + (y + z) = 1.234668e+04 | Associative: true
x = 1.000000e+00, y = 1.234568e+04, z = 1.234568e+04 | (x + y) + z = 2.469236e+04, x + (y + z) = 2.469236e+04 | Associative: true
x = 1.000000e+00, y = 1.234568e+04, z = -9.876543e+03 | (x + y) + z = 2.470136e+03, x + (y + z) = 2.470136e+03 | Associative: true
x = 1.000000e+00, y = -9.876543e+03, z = 1.000000e+16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
